Species,Trait,HighestTrait,CTmax_point,CTmax_lower,CTmax_upper,CTmin_point,CTmin_lower,CTmin_upper,Topt_point,Topt_lower,Topt_upper,Diurnal,Nocturnal,Crepuscular,Source
Aedes_sierrensis_MAR2,PupalDevRate,Fecundity,32.07136118,31.55760303,32.51224465,5.699559469,3.937568533,7.461079777,26.30613333,26,26.5,,,,Couper et al. 2023
Aedes_sierrensis_PAR,PupalDevRate,Fecundity,32.22912299,31.85832551,32.64137051,6.265346153,4.886368831,7.66829744,26.50226667,26,27,,,,Couper et al. 2023
Aedes_sierrensis_PLA,PupalDevRate,LarvalDevRate,32.20762487,31.9102943,32.54965828,6.65240107,5.268566311,7.959312206,26.5182,26.5,27,,,,Couper et al. 2023
Aedes_sierrensis_POW,PupalDevRate,LarvalDevRate,33.42116153,32.99253813,33.86827418,7.001712188,5.56191033,8.375063761,27.53433333,27,28,,,,Couper et al. 2023
Aedes_sierrensis_SB,PupalDevRate,Fecundity,33.55401312,32.99530327,34.09156699,6.908074768,5.410481515,8.32447273,27.63033333,27,28,,,,Couper et al. 2023
Aedes_sierrensis_WAW,PupalDevRate,Fecundity,33.72074455,33.18434098,34.26350077,6.400296699,5.111491542,7.675277572,27.6938,27.5,28,,,,Couper et al. 2023
Aedes_sierrensis_EUG,PupalSurvival,Fecundity,32.9110913,30.92308974,35.10793046,7.415369532,4.573963178,10.46445752,15.93673333,10,27,,,,Couper et al. 2023
Aedes_sierrensis_HOP,PupalSurvival,Fecundity,33.76204484,31.62804547,36.18434404,6.890609273,4.457630306,9.185672396,13.49653333,8.5,30,,,,Couper et al. 2023
Aedes_sierrensis_JRA,PupalSurvival,Fecundity,32.53956483,30.71465451,34.46837463,7.069373328,4.891127433,9.254243829,16.2426,10.5,26.5,,,,Couper et al. 2023
Aedes_sierrensis_MAR1,PupalSurvival,Fecundity,33.40069497,31.40123264,35.39824371,7.194924792,4.684453141,9.685962038,14.37346667,9,29.5,,,,Couper et al. 2023
Aedes_sierrensis_MAR2,PupalSurvival,Fecundity,34.35422151,31.8745324,36.80518157,8.184168335,5.438738719,10.77619208,19.32893333,10.5,27,,,,Couper et al. 2023
Aedes_sierrensis_PAR,PupalSurvival,Fecundity,32.91408954,31.04346836,34.93215033,7.060537183,4.676073689,9.176989608,15.2716,9.5,27,,,,Couper et al. 2023
Aedes_sierrensis_PLA,PupalSurvival,LarvalDevRate,32.84244617,30.99381853,34.70745168,7.192022861,4.957886124,9.332523254,16.00366667,10.5,27,,,,Couper et al. 2023
Aedes_sierrensis_POW,PupalSurvival,LarvalDevRate,33.93327907,32.62622034,35.38245817,8.021667128,3.911872343,10.67173676,15.5654,7.5,29.5,,,,Couper et al. 2023
Aedes_sierrensis_SB,PupalSurvival,Fecundity,34.27049607,32.37329301,36.21549615,6.9435794,4.543321126,9.390931342,19.80566667,14,26,,,,Couper et al. 2023
Aedes_sierrensis_WAW,PupalSurvival,Fecundity,33.04366306,32.19886171,34.30705359,5.609080857,2.053655717,8.806373355,14.68573333,8,27,,,,Couper et al. 2023
Culex_pipiens,AdultLifespan,EggViability,35.274,31.229,39.519,4.573,-0.054,9.149,10.4549887,5.17994517,15.6940387,,,,Cruz-Loya 
Culex_quinquefasciatus,AdultLifespan,BitingRate,34.622,30.139,40.010,4.753,-0.045,9.514,11.8858637,4.09542439,18.8143301,,,,Cruz-Loya 
Culex_tarsalis,AdultLifespan,ImmatureSurvival,38.125,33.548,43.356,4.592,-0.205,9.357,10.3277451,3.5865468,16.7118742,,,,Cruz-Loya 
Aedes_taeniorhynchus,AdultLifespan,AdultLifespan,37.486219,29.3733809,44.64826,5.161344,0.1045166,10.57364,14.62616,3.56173259,32.3254287,,,,Cruz-Loya 
