publication_year,country,site_id,site_name,area_type,control,control_method,month_start,month_end,year_start,year_end,anopheline_source,assi,identification_method1,identification_method2,identification_method3,identification_method4,anopheline_map,sample_method1,n1,sample_method2,n2,sample_method3,n3,sample_method4,n4,citation,pubmed_id,LongitudeF,Longitude,Latitude,elevation,elev_units
1998,India,1000006056,Ferozpur,point,,,,,1995,1995,Anopheles stephensi,,?,,,,Anopheles stephensi,ard,,hri,,,,,,"Thapar, B.R., Sharma, S.N., Dasgupta, R.K., Kaul, S.M., Bali, A., Chhabra, K. and Lal, S. (1998).  <b>Blood meal identification by using Microdot ELISA in vector mosquitoes.</b> <i>Journal of Communicable Diseases</i>, <b>30</b>(4):283-7",10810570,74,74.616,30.918,196,meters
1991,India,1000005500,Jaipur district (38 villages),wide area,,,11,2,1986,1987,Anopheles stephensi,,m,,,,Anopheles stephensi,hri,,,,,,,,"Verma, K.V., Joshi, V. and Bansal, S.K. (1991).  <b>Studies on mosquito vector species in indoor habitats of desert and non-desert regions of Rajasthan.</b> <i>Journal of Communicable Diseases</i>, <b>23</b>(4):263-9",1842809,75,75.804,26.914,438,meters
2010,India,2146281481,Alwar,point,,,,,,,Anopheles stephensi,,m,dna,,,Anopheles stephensi,hri,0,,,,,,,"Vipin, Dube, M and Gakhar, SK. (2010).  <b>Gene flow in malaria vector <i>Anopheles stephensi</i> (Diptera: Culicidae) across the Aravalli Hills in North-west India.</b> <i>Entomological Research</i>, <b>40</b>(2):85-96",,76,76.6326,27.5516,264,meters
1986,India,1000014997,"R. K. Puram Sec. 5,6,8,9 and 12",point,,,8,8,1985,1985,Anopheles stephensi,,?,,,,Anopheles stephensi,l,30,,,,,,,"Sharma, V.P., Sharma, G.K., Ansari, M.A., Mittal, P.K., Razdan, R.K. and Batra, C.P. (1986).  <b>Impact of malathion thermal fogging on mosquito populations in Delhi and its place in malaria control.</b> <i>Indian Journal of Malariology</i>, <b>23</b>(1):65-7",3758441,77,77.183,28.561,235,meters
2006,India,1000005783," BHEL (industrial comples, Hardwar)",wide area,,,,,,,Anopheles stephensi,,?,,,,Anopheles stephensi,l,,,,,,,,"Dua, V.K., Pandey, A.C., Alam, M.E. and Dash, A.P. (2006).  <b>Larvicidal activity of <i>Hibiscus abelmoschus</i> Linn. (Malvaceae) against mosquitoes.</b> <i>Journal of the American Mosquito Control Association</i>, <b>22</b>(1):155-7",16646343,78,78.1042,29.9462,330,meters
1998,India,1000003348,Matkota & Tilpuri,wide area,,,4,3,1992,1994,Anopheles stephensi,,m,,,,Anopheles stephensi,ard,,hri,,l,,mbi,,"Shukla, R.P., Nanda, N., Pandey, A.C., Kohli, V.K., Joshi, H. and Subbarao, S.K. (1998).  <b>Studies on bionomics of <i>Anopheles fluviatilis</i> and its sibling species in Nainital district, U.P.</b> <i>Indian Journal of Malariology</i>, <b>35</b>(2):41-7",10448226,79,79.328,29.0681,229,meters
2004,India,1000014831,Military station in Allahabad 1 (intervention),wide area,yes,combination,1,12,1999,2001,Anopheles stephensi,,?,,,,Anopheles stephensi,?,,,,,,,,"Deswal, B.S., Bhatnagar, D., Tilak, R. and Basannar, D.R. (2004).  <b>Malaria control using deltamethrin impregnated bed nets in a cantonment area at Allahabad (U. P.).</b> <i>Journal of Communicable Diseases</i>, <b>36</b>(3):171-6",16509253,81,81.848,25.447,96,meters
2004,Myanmar,1000000204,Mawphaung,point,,,5,3,1998,2000,Anopheles stephensi,,m,,,,Anopheles stephensi,mbi,,mbo,,abn,,hri,,"Ool, T.T., Storch, V. and Becker, N. (2004).  <b>Review of the anopheline mosquitoes of Myanmar.</b> <i>Journal of Vector Ecology</i>, <b>29</b>(1):21-40",15266738,97,97.281,25.319,135,meters
9/1/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,43.23,11.48,7,meters
9/2/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,43.2311,11.4772,7,meters
