Species.Pop,HighestTrait,lat,lon,maxtemp_point,maxtemp_lower,maxtemp_upper,maxtemp_NoB_point,maxtemp_NoB_lower,maxtemp_NoB_upper,tolerance_point,tolerance_lower,tolerance_upper,tolerance_NoB_point,tolerance_NoB_lower,tolerance_NoB_upper,tolerance_Tpref_point,tolerance_Tpref_lower,tolerance_Tpref_upper,numhours_point,numhours_lower,numhours_upper,numhours_NoB_point,numhours_NoB_lower,numhours_NoB_upper,streak_point,streak_lower,streak_upper,streak_NoB_point,streak_NoB_lower,streak_NoB_upper,streak_days_point,streak_days_lower,streak_days_upper,streak_days_nob_point,streak_days_nob_lower,streak_days_nob_upper,AdultLifespan,maxtemp_point2,maxtemp_lower2,maxtemp_upper2,maxtemp_NoB_point2,maxtemp_NoB_lower2,maxtemp_NoB_upper2,tolerance_point2,tolerance_lower2,tolerance_upper2,tolerance_NoB_point2,tolerance_NoB_lower2,tolerance_NoB_upper2,tolerance_Tpref_point2,tolerance_Tpref_lower2,tolerance_Tpref_upper2,numhours_point2,numhours_lower2,numhours_upper2,numhours_NoB_point2,numhours_NoB_lower2,numhours_NoB_upper2,streak_point2,streak_lower2,streak_upper2,streak_NoB_point2,streak_NoB_lower2,streak_NoB_upper2,streak_days_point2,streak_days_lower2,streak_days_upper2,streak_days_nob_point2,streak_days_nob_lower2,streak_days_nob_upper2,elevation,ScaledTSM,BIOME
Aedes_aegypti,BitingRate,-9.58,160.15,"33.79163764","32.99874668","34.24276376","34.10498445","34.10498445","34.24276376","6.208362362","7.001253317","6.157236237","5.895015546","5.895015546","6.157236237","9.200039643","10.00021005","9.100089549","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"29.58957586","29.58957586","29.58957586","34.10498445","34.10498445","34.10498445","7.860424141","5.310424141","10.41042414","3.345015546","0.795015546","5.895015546","7.860424141","5.310424141","10.41042414","0","0","0","0","0","0",,,,,,,,,,,,,"220","0.753552777268972",1.00000000000
Aedes_aegypti,BitingRate,-8.51,179.19,"33.70990527","32.99896172","34.19939554","34.35082672","34.35082672","34.35082847","6.290094725","7.001038284","6.200604457","5.649173282","5.649173282","6.049171532","8.505717458","8.505717405","8.905717458","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"31.49428254","31.49428254","31.49428254","34.35082672","34.35082672","34.35082672","5.955717458","3.405717458","8.505717458","3.099173282","0.549173282","5.649173282","5.955717458","3.405717458","8.505717458","0","0","0","0","0","0",,,,,,,,,,,,,"0","0.671092604531673",1.00000000000
Aedes_aegypti,BitingRate,-21.15,-175.22,"31.64185059","31.64185052","31.64185059","31.64185059","31.64185052","31.64185059","8.358149411","8.358149479","8.758149411","8.358149411","8.358149479","8.758149411","9.280313123","10.00351878","9.26943342","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"29.20780128","29.20780128","29.20780128","31.1305667","31.1305667","31.1305667","8.242198719","5.692198719","10.79219872","6.319433301","3.769433301","8.869433301","8.242198719","5.692198719","10.79219872","0","0","0","0","0","0",,,,,,,,,,,,,"8","0.770080885207883",1.00000000000
Aedes_aegypti,BitingRate,-21.23,-159.77,"32.58793521","32.58793521","32.58793521","32.58793521","32.58793521","32.58793521","7.41206479","7.41206479","7.81206479","7.41206479","7.41206479","7.81206479","9.204704249","10.00450176","9.10857903","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"29.13152567","29.13152567","29.13152567","32.11758804","32.11758804","32.11758804","8.318474328","5.768474328","10.86847433","5.332411964","2.782411964","7.882411964","8.318474328","5.768474328","10.86847433","0","0","0","0","0","0",,,,,,,,,,,,,"142","0.77338307338726",1.00000000000
Aedes_aegypti,BitingRate,-16.84,-151.48,"33.7768969","32.97955699","34.2734761","34.4099789","34.4099789","34.4099789","6.2231031","7.020443015","6.126523901","5.590021102","5.590021102","5.990021102","9.200461328","9.32127143","9.101200867","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"30.67872857","30.67872857","30.67872857","34.4099789","34.4099789","34.4099789","6.77127143","4.22127143","9.32127143","3.040021102","0.490021102","5.590021102","6.77127143","4.22127143","9.32127143","0","0","0","0","0","0",,,,,,,,,,,,,"6","0.706400256889876",1.00000000000
Aedes_aegypti,BitingRate,-17.01,-65.46,"33.76742761","32.99978516","34.20724581","34.20745577","34.20745203","34.20724581","6.232572394","7.000214835","6.192754189","5.792544228","5.792547967","6.192754189","8.254428025","8.254428025","8.654428025","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"31.74557197","31.74557197","31.74557197","34.20745203","34.20745203","34.20745203","5.704428025","3.154428025","8.254428025","3.242547967","0.692547967","5.792547967","5.704428025","3.154428025","8.254428025","0","0","0","0","0","0",,,,,,,,,,,,,"320","0.660213569855531",1.00000000000
Aedes_aegypti,BitingRate,-22.53,-63.81,"42.02658254","42.02658254","42.02658254","42.80125977","42.80125975","42.80125975","-2.026582536","-2.026582536","-1.626582536","-2.801259771","-2.801259749","-2.401259749","-2.026582536","-2.026582536","-1.626582536","5","5","5","55","55","46","5","5","5","7","7","7","1","1","1","3","3","3",AdultLifespan,"42.02658254","42.02658254","42.02658254","42.80125975","42.80125975","42.80125975","-4.576582536","-7.126582536","-2.026582536","-5.351259749","-7.901259749","-2.801259749","-4.576582536","-7.126582536","-2.026582536","56","262","5","202","461","55","6","8","5","7","9","7","2","6","1","5","6","3","497","0.215119364883891",1.00000000000
Aedes_aegypti,BitingRate,-18.34,-59.6,"35.9478075","35.9478075","35.9478075","39.16188795","39.16188782","39.16188795","4.052192496","4.052192495","4.452192496","0.838112052","0.838112178","1.238112052","4.052192495","4.052192495","4.452192495","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"35.9478075","35.9478075","35.9478075","39.16188782","39.16188782","39.16188782","1.502192495","-1.047807505","4.052192495","-1.711887822","-4.261887822","0.838112178","1.502192495","-1.047807505","4.052192495","0","29","0","27","195","0",,"4",,"4","8",,,"3",,"4","4",,"625","0.478286835004769",2.00000000000
Aedes_aegypti,BitingRate,-15.65,-56.14,"38.39970874","38.39970874","38.39970874","43.6790881","43.67908809","43.6790881","1.600291263","1.600291263","2.000291263","-3.679088099","-3.679088094","-3.279088099","1.600291263","1.600291263","2.000291263","0","0","0","105","105","81",,,,"6","6","5",,,,"8","8","5",AdultLifespan,"38.39970874","38.39970874","38.39970874","43.67908809","43.67908809","43.67908809","-0.949708737","-3.499708737","1.600291263","-6.229088094","-8.779088094","-3.679088094","-0.949708737","-3.499708737","1.600291263","47","312","0","296","616","105","6","7",,"7","9","6","3","9",,"15","24","8","200","0.37213705303043",7.00000000000
Aedes_aegypti,BitingRate,-20.44,-54.62,"36.7435199","36.7435199","36.7435199","40.63100542","40.6310054","40.63100542","3.256480102","3.256480101","3.656480102","-0.631005423","-0.631005395","-0.231005423","3.256480101","3.256480101","3.656480101","0","0","0","1","1","1",,,,"1","1","1",,,,"1","1","1",AdultLifespan,"36.7435199","36.7435199","36.7435199","40.6310054","40.6310054","40.6310054","0.706480101","-1.843519899","3.256480101","-3.181005395","-5.731005395","-0.631005395","0.706480101","-1.843519899","3.256480101","0","52","0","86","259","1",,"6",,"6","7","1",,"4",,"6","23","1","540","0.443838181023515",7.00000000000
